"","coef","exp(coef)","se(coef)","z","Pr(>|z|)"
"Size_GroupSmall",-0.578294061770537,0.560854333772202,0.342871604157759,-1.68661987390608,0.0916764680000976
"LymphNodes",0.0332230254988995,1.03378107307246,0.0242058821852115,1.37251868139708,0.169902027343002
"radius_mean",0.139077778837112,1.14921348101573,0.0483952948444776,2.87378719943851,0.00405582135170117
